,ANO_BO,NUM_BO,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,BO_AUTORIA,FLAGRANTE,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,EXAME,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,STATUS,PLACA_VEICULO,UF_VEICULO,CIDADE_VEICULO,DESCR_COR_VEICULO,DESCR_MARCA_VEICULO,ANO_FABRICACAO,ANO_MODELO,DESCR_TIPO_VEICULO
12194,2017,3847,2017-12-09 15:43:10,2017-12-09 16:16:35,2017-12-09 00:00:00,A TARDE,2017-12-09 00:00:00,Desconhecida,Não,AVENIDA DOUTOR BERNARDINO BRITO FONSECA,416.0,VILA MATILDE,S.PAULO,SP,"-235,349,647,384,664","-46,519,733,070,786",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.POL.FERRAZ DE VASCONCELOS,21º D.P. VILA MATILDE,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FOW8110,SP,S.PAULO,Cinza,HYUNDAI/TUCSON GLSB,2014.0,2015.0,CAMIONETA
12204,2017,1563,2017-12-09 15:28:41,2017-12-09 16:28:57,2017-12-09 00:00:00,A TARDE,2017-12-09 00:00:00,Conhecida,Não,RUA CINCO DE OUTUBRO,150.0,VILA BARAO,SOROCABA,SP,"-23,492,778,299,918","-47,479,579,574,097",Via pública,,BO PARA ADENDO,04º D.P. SOROCABA,04º D.P. SOROCABA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CJH1153,SP,VOTORANTIM,Cinza,VW/VOYAGE PLUS,1983.0,1983.0,AUTOMOVEL
12205,2017,1563,2017-12-09 15:28:41,2017-12-09 16:28:57,2017-12-09 00:00:00,A TARDE,2017-12-09 00:00:00,Conhecida,Não,RUA CINCO DE OUTUBRO,150.0,VILA BARAO,SOROCABA,SP,"-23,492,778,299,918","-47,479,579,574,097",Via pública,,BO PARA ADENDO,04º D.P. SOROCABA,04º D.P. SOROCABA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DQU9375,SP,VOTORANTIM,Vermelho,I/HONDA CBR 600RR,2010.0,2010.0,MOTOCICLO
12213,2017,5041,2017-12-09 16:22:23,2017-12-09 16:29:25,2017-12-09 00:00:00,EM HORA INCERTA,2017-12-09 00:00:00,Desconhecida,Não,AVENIDA GENERAL LEITE DE CASTRO,201.0,SACOMA,S.PAULO,SP,"-23,640,076,317,647","-46,594,487,343",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,02º D.P. SANTO ANDRÉ,83º D.P. PARQUE BRISTOL,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FRJ3134,SP,DIADEMA,Cinza,VW/FOX 1.6 GII,2014.0,2014.0,AUTOMOVEL
12218,2017,8540,2017-12-09 16:03:11,2017-12-09 16:32:16,2017-12-09 00:00:00,A TARDE,2017-12-09 00:00:00,Ignorado,Não,AVENIDA JOAO VELHO DO REGO,578.0,SAO MATEUS,S.PAULO,SP,"-236,027,781,672,816","-464,751,209,387,845",Via pública,IC,ENCAMINHAMENTO DP ÁREA DO FATO,69º D.P. TEOTONIO VILELA,49º D.P. SAO MATEUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,PUK9051,SP,S.CAETANO DO SUL,Branco,FIAT/PALIO FIRE,2014.0,2015.0,AUTOMOVEL
12246,2017,6689,2017-06-07 21:54:37,2017-06-07 23:18:17,2017-06-07 00:00:00,A NOITE,2017-06-07 00:00:00,Conhecida,Sim,RUA RENE DE TOLEDO,108.0,CIDADE TIRADENTES,S.PAULO,SP,"-236,020,009,248,764","-464,043,016,404,157",Via pública,IML,BO PARA FLAGRANTE,49º D.P. SAO MATEUS,54º D.P. CID. TIRADENTES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,ACD9403,SP,PARIQUERA-ACU,Azul,VW/VOYAGE CL,1988.0,1988.0,AUTOMOVEL
12326,2017,465,2017-07-07 09:32:30,2017-07-07 10:20:53,2017-06-07 00:00:00,EM HORA INCERTA,2017-07-07 00:00:00,Desconhecida,Não,,0.0,,,,,,Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.POL.BADY BASSIT,05º D.P. S.JOSE RIO PRETO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BUQ7888,SP,S.JOSE DO RIO PRETO,Branco,VW/GOL 1000I,1995.0,1995.0,AUTOMOVEL
12335,2017,4598,2017-07-07 06:17:13,2017-07-07 10:32:23,2017-06-07 00:00:00,A NOITE,2017-07-07 00:00:00,Conhecida,Sim,RUA JOAO FURLAN,21.0,JARDIM BOA VISTA,URUPES,SP,"-212,016,619,459,149","-492,982,001,472,369",Via pública,,BO PARA FLAGRANTE,DEL.SEC.CATANDUVA PLANTÃO,DEL.POL.URUPES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BGH1977,SP,URUPES,Bege,GM/MONZA SL/E,1985.0,1986.0,AUTOMOVEL
12344,2017,595,2017-03-05 17:49:13,2017-03-05 21:15:00,2017-03-05 00:00:00,A TARDE,2017-03-05 00:00:00,Conhecida,Sim,ESTRADA DAS VARINHAS,0.0,JUNDIAPEBA,MOGI DAS CRUZES,SP,"-235,547,361,819,999","-46,256,919,333",Via pública,IC-IML,BO PARA FLAGRANTE,04º D.P. MOGI DAS CRUZES,04º D.P. MOGI DAS CRUZES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CIH7380,SP,MOGI DAS CRUZES,Vermelho,GM/MONZA CLASSIC SE 2.0,1990.0,1990.0,AUTOMOVEL
12345,2017,595,2017-03-05 17:49:13,2017-03-05 21:15:00,2017-03-05 00:00:00,A TARDE,2017-03-05 00:00:00,Conhecida,Sim,ESTRADA DAS VARINHAS,0.0,JUNDIAPEBA,MOGI DAS CRUZES,SP,"-235,547,361,819,999","-46,256,919,333",Via pública,IC-IML,BO PARA FLAGRANTE,04º D.P. MOGI DAS CRUZES,04º D.P. MOGI DAS CRUZES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CZM7214,SP,MOGI DAS CRUZES,Verde,VW/VW FUSCA 1500,1971.0,1971.0,AUTOMOVEL
12394,2017,4384,2017-03-05 23:01:57,2017-03-05 23:16:41,2017-03-05 00:00:00,A TARDE,2017-03-05 00:00:00,Desconhecida,Não,RUA COROADOS,558.0,VILA PIRES,S.ANDRE,SP,"-236,757,239,377,272","-465,142,033,370,303",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,49º D.P. SAO MATEUS,03º D.P. SANTO ANDRÉ,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FNM3577,SP,S.ANDRE,Azul,I/VW JETTA CL AC,2015.0,2015.0,AUTOMOVEL
12480,2017,585,2017-03-19 14:15:12,2017-03-19 14:35:48,2017-03-19 00:00:00,PELA MANHÃ,2017-03-19 00:00:00,Desconhecida,Não,RUA MARQUES DE MARICA,41.0,JARDIM IMPERIAL,S.JOSE DOS CAMPOS,SP,"-232,799,445,283,714","-458,985,386,802,285",Via pública,IC,APRECIAÇÃO DO DELEGADO TITULAR,DEL.SEC.POL.SJCAMPOS PL SUL,03º D.P. S.JOSE DOS CAMPOS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CLT8914,SP,S.JOSE DOS CAMPOS,Verde,VW/GOL CL 1.8 MI,1997.0,1998.0,AUTOMOVEL
12502,2017,1357,2017-03-19 15:40:41,2017-03-19 15:51:49,2017-03-19 00:00:00,DE MADRUGADA,2017-03-19 00:00:00,Desconhecida,Não,,0.0,,,,,,Via pública,,BO PARA REGISTRO,DEL.SEC.LIMEIRA PLANTÃO,02º D.P. LIMEIRA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BUT5543,SP,LIMEIRA,Branco,VW/VW FUSCA 1300,1974.0,1974.0,AUTOMOVEL
12531,2017,918,2017-05-23 11:49:55,2017-05-23 11:53:28,2017-05-23 00:00:00,PELA MANHÃ,2017-05-23 00:00:00,Desconhecida,Não,RUA NELSOM TAUFIK NASSIF,63.0,RES MAURO MARCONDES,CAMPINAS,SP,"-229,736,099,578,197","-471,680,524,037,744",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,06º D.P. CAMPINAS,09º D.P. CAMPINAS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EQA2089,SP,CAMPINAS,Prata,FIAT/LINEA LX 1.9,2010.0,2010.0,AUTOMOVEL
12549,2017,494,2017-05-23 12:13:34,2017-05-23 12:37:22,2017-05-21 00:00:00,A NOITE,2017-05-23 00:00:00,Desconhecida,Não,RUA JOAQUIM RODRIGUES DOS SANTOS,0.0,CENTRO,BOM JESUS DOS PERDOES,SP,"-23,136,517,225","-46,466,192,599",Via pública,,BO PARA REGISTRO,DEL.POL.BOM JESUS DOS PERDÕES,DEL.POL.BOM JESUS DOS PERDÕES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CEK8413,SP,ATIBAIA,Branco,VW/GOL I,1996.0,1996.0,AUTOMOVEL
12558,2017,5072,2017-05-23 12:03:14,2017-05-23 12:54:13,2017-05-23 00:00:00,DE MADRUGADA,2017-05-23 00:00:00,Conhecida,Não,RUA MOREIRA TERRA,247.0,PARQUE DO CARMO,S.PAULO,SP,"-235,743,327,958,785","-464,776,613,885,732",Via pública,,BO PARA REGISTRO,49º D.P. SAO MATEUS,53º D.P. PARQUE DO CARMO,Localização e/ou Devolução,Localização/Apreensão e Entrega de objeto,Consumado,CMF5609,SP,S.PAULO,Preta,GM/S10 DE LUXE 4.3 S,1998.0,1998.0,CAMIONETA
12568,2017,5371,2017-05-23 12:34:09,2017-05-23 13:10:39,2017-05-22 00:00:00,A TARDE,2017-05-23 00:00:00,Conhecida,Não,RUA 14,2700.0,WENZEL,RIO CLARO,SP,"-22,399,064,347","-47,575,546,135",Via pública,IC,APRECIAÇÃO DO DELEGADO TITULAR,DEL.SEC.RIO CLARO PLANTÃO,03º D.P. RIO CLARO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EDF1383,SP,CAMPINAS,Preta,FORD/FIESTA SEDAN FLEX,2008.0,2008.0,AUTOMOVEL
12591,2017,1318,2017-05-23 13:54:26,2017-05-23 14:01:12,2017-05-23 00:00:00,PELA MANHÃ,2017-05-23 00:00:00,Desconhecida,Não,RUA NATAL PAULO GULO,220.0,JARDIM GLORIA,LIMEIRA,SP,"-225,839,018,838,148","-473,785,516,895,925",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,04º D.P. LIMEIRA,04º D.P. LIMEIRA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BGA9466,SP,LIMEIRA,Bege,VW/VOYAGE CL,1991.0,1991.0,AUTOMOVEL
12605,2017,1312,2017-05-23 14:14:34,2017-05-23 14:24:12,2017-05-23 00:00:00,PELA MANHÃ,2017-05-23 00:00:00,Desconhecida,Não,RUA SANTA CATARINA,147.0,CENTRO,S.CAETANO DO SUL,SP,"-236,122,168,028,944","-465,714,780,957,451",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,42º D.P. PARQUE S. LUCAS,01º D.P. S.CAETANO DO SUL,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FYC5818,SP,S.CAETANO DO SUL,Vermelho,HONDA/HR-V EX CVT,2016.0,2016.0,AUTOMOVEL
12617,2017,582,2017-05-23 14:00:00,2017-05-23 14:49:46,2017-05-23 00:00:00,PELA MANHÃ,2017-05-23 00:00:00,Desconhecida,Não,RUA DAS PITANGUEIRAS,790.0,VIANELO BONFIGLIOLI,JUNDIAI,SP,"-231,990,559,655,909","-468,801,071,808,636",Via pública,,BO PARA REGISTRO,07º D.P. JUNDIAI,04º D.P. JUNDIAI,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,GFG535,SP,JUNDIAI,Prata,VW/UP MOVE MB,2016.0,2016.0,AUTOMOVEL
12651,2017,5914,2017-10-18 12:13:24,2017-10-18 12:43:51,2017-10-13 00:00:00,PELA MANHÃ,2017-10-18 00:00:00,Desconhecida,Não,AVENIDA DONÁ ROSA MARIA DE CONCEIÇÃO BAR,100.0,MAIA,GUARULHOS,SP,"-234,532,601,143,363","-465,329,500,190,551",Via pública,IC,APRECIAÇÃO DO DELEGADO TITULAR,01º D.P. GUARULHOS,01º D.P. GUARULHOS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FAS0971,SP,GUARULHOS,Vermelho,FORD/ECOSPORT FSL 1.6,2013.0,2013.0,CAMIONETA
12676,2017,4824,2017-10-18 12:24:37,2017-10-18 13:30:30,2017-10-15 00:00:00,PELA MANHÃ,2017-10-18 00:00:00,Desconhecida,Não,RUA ANGELIM,39.0,JD SANTA CECILIA,BARUERI,SP,"-235,131,039,689,759","-468,127,985,479,811",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,10º D.P. OSASCO,02º D.P. BARUERI,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BOR8935,SP,OSASCO,Azul,VW/GOL COPA,1994.0,1994.0,AUTOMOVEL
12698,2017,2415,2017-10-18 13:58:17,2017-10-18 14:10:55,2017-10-18 00:00:00,PELA MANHÃ,2017-10-18 00:00:00,Desconhecida,Não,RUA MAJ OSVALDO ESTEVES,143.0,JD SÃO CRISTOVÃO,CAMPINAS,SP,"-22,980,888,519","-47,147,130,067",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,09º D.P. CAMPINAS,09º D.P. CAMPINAS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EYG9266,SP,CAMPINAS,Branco,I/KIA K2500 HD,2011.0,2011.0,CAMINHONETE
12717,2017,5306,2017-05-27 15:38:49,2017-05-27 16:24:12,2017-05-27 00:00:00,A TARDE,2017-05-27 00:00:00,Desconhecida,Não,AVENIDA FLAVIO MONTEIRO DE CASTRO,1279.0,TUPI,PRAIA GRANDE,SP,"-24,015,896,895","-464,621,344,129,999",Via pública,,BO PARA INVESTIGAÇÃO,DEL.POL.PRAIA GRANDE,DEL.POL.PRAIA GRANDE,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FWC1338,SP,S.PAULO,Vermelho,FORD/ECOSPORT SE 1.6,2014.0,2015.0,CAMIONETA
12765,2017,1197,2017-05-27 20:35:36,2017-05-27 21:21:48,2017-05-27 00:00:00,A TARDE,2017-05-27 00:00:00,Desconhecida,Não,,0.0,,,,,,Residência,,BO PARA INVESTIGAÇÃO,DEL.SEC.ASSIS PLANTÃO,02º D.P. ASSIS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DTN4583,SP,ASSIS,Prata,HONDA/CG 150 TITAN ES,2007.0,2007.0,MOTOCICLO
12812,2017,3857,2017-09-06 21:41:49,2017-09-06 21:55:43,2017-07-06 00:00:00,A NOITE,2017-09-06 00:00:00,Desconhecida,Não,RUA ALCIDES MILLER,120.0,SAPOPEMBA,S.PAULO,SP,"-235,975,974,209,999","-46,520,868,277",Via pública,,BO PARA REGISTRO,08º D.P. BRAS,41º D.P. VILA RICA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EEU5124,SP,S.PAULO,Preta,VW/VOYAGE 1.6 COMFORTL,2009.0,2010.0,AUTOMOVEL
12828,2017,2342,2017-09-06 21:55:55,2017-09-06 22:30:44,2017-05-06 00:00:00,A NOITE,2017-09-06 00:00:00,Desconhecida,Não,AVENIDA BRASIL,906.0,MONTE CASTELO,S.JOSE DOS CAMPOS,SP,"-23,180,450,168,625","-4,587,341,330,475",Via pública,IC,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.POL.SJCAMPOS PL CENTRO,02º D.P. S.JOSE DOS CAMPOS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CQE2567,SP,S.JOSE DOS CAMPOS,Cinza,FORD/ESCORT L,1989.0,1989.0,AUTOMOVEL
12885,2017,3963,2017-10-06 02:03:37,2017-10-06 03:16:07,2017-09-06 00:00:00,A NOITE,2017-10-06 00:00:00,Conhecida,Não,RUA GUAIANASES,0.0,REPUBLICA,S.PAULO,SP,"-235,411,624,289,999","-466,402,222,359,999",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,02º D.P. BOM RETIRO,03º D.P. CAMPOS ELISEOS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BXQ9896,SP,S.PAULO,Vermelho,YAMAHA/FAZER YS250,2008.0,2008.0,MOTOCICLO
12897,2017,4445,2017-10-06 03:56:00,2017-10-06 05:14:13,2017-10-06 00:00:00,DE MADRUGADA,2017-10-06 00:00:00,Conhecida,Não,ACESSO RODOVIA AIRTON SENNA,0.0,CAMPO DA VENDA,ITAQUAQUECETUBA,SP,"-23,463,522,215","-46,337,368,881",Via pública,IC,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.POL.ITAQUAQUECETUBA,DEL.POL.ITAQUAQUECETUBA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,JEP5770,SP,S.ISABEL,Azul,FIAT/UNO MILLE EP,1996.0,1996.0,AUTOMOVEL
12909,2017,73,2017-08-03 15:51:04,2017-08-03 18:29:35,2017-08-03 00:00:00,A TARDE,2017-08-03 00:00:00,Conhecida,Sim,RUA AVIADOR GIL GUILHERME,1.0,SANTANA,S.PAULO,SP,"-23,506,384,092","-46,626,261,669",Via pública,IC-IML,BO PARA FLAGRANTE,DEIC - 3ª DELEGACIA DA DIVECAR,13º D.P. CASA VERDE,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FEF8659,SP,S.PAULO,Vermelho,HONDA/CG 160 TITAN EX,2016.0,2017.0,MOTOCICLO
12910,2017,73,2017-08-03 15:51:04,2017-08-03 18:29:35,2017-08-03 00:00:00,A TARDE,2017-08-03 00:00:00,Conhecida,Sim,RUA AVIADOR GIL GUILHERME,1.0,SANTANA,S.PAULO,SP,"-23,506,384,092","-46,626,261,669",Via pública,IC-IML,BO PARA FLAGRANTE,DEIC - 3ª DELEGACIA DA DIVECAR,13º D.P. CASA VERDE,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,PUB0266,MG,CONTAGEM,Vermelho,HONDA/CB 300R,2014.0,2014.0,MOTOCICLO
12923,2017,893,2017-08-03 18:40:21,2017-08-03 18:50:30,2017-08-03 00:00:00,PELA MANHÃ,2017-08-03 00:00:00,Desconhecida,Não,RUA DOUTOR FAUSTO FERRAZ,227.0,BELA VISTA,S.PAULO,SP,"-235,653,112,125,006","-466,469,630,450,903",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,66º D.P. JDIM ARICANDUVA,78º D.P. JARDINS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FAP3480,SP,S.PAULO,Preta,YAMAHA/LANDER XTZ250,2012.0,2012.0,MOTOCICLO
12955,2017,2452,2017-08-03 15:12:59,2017-08-03 20:01:57,2017-08-03 00:00:00,PELA MANHÃ,2017-08-03 00:00:00,Conhecida,Sim,RUA ANGELO DE CANDIA,1.0,SAO MATEUS,S.PAULO,SP,"-235,906,929,999,999","-46,487,829,007",Via pública,IC-IML,BO PARA FLAGRANTE,49º D.P. SAO MATEUS,49º D.P. SAO MATEUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CMU2610,SP,S.PAULO,Vermelho,VW/GOL CL 1.6 MI,1997.0,1997.0,AUTOMOVEL
12986,2017,1169,2017-08-03 21:24:31,2017-08-03 21:32:41,2017-08-03 00:00:00,A NOITE,2017-08-03 00:00:00,Desconhecida,Não,RUA JOAQUIM CARLOS WISS,0.0,PQ HIPOLITO,LIMEIRA,SP,"-225,917,692,529,999","-47,413,746,219",Via pública,IC,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.LIMEIRA PLANTÃO,04º D.P. LIMEIRA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,GIU8954,SP,LIMEIRA,Branco,VW/NOVO GOL TL MCV,2016.0,2017.0,AUTOMOVEL
13020,2017,834,2017-05-06 18:33:10,2017-05-06 21:36:45,2017-05-06 00:00:00,A TARDE,2017-05-06 00:00:00,Conhecida,Sim,ESTRADA DO KM 03,0.0,,MARTINOPOLIS,SP,"-2,214,369,180,675","-511,716,520,505",Unidade rural,IML,BO PARA ADENDO,DEL.POL.MARTINOPOLIS,DEL.POL.MARTINOPOLIS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CVQ4378,SP,MARTINOPOLIS,Vermelho,HONDA/CG 125 TITAN KS,2001.0,2001.0,MOTOCICLO
13056,2017,2415,2017-06-06 00:26:53,2017-06-06 01:23:48,2017-03-06 00:00:00,DE MADRUGADA,2017-06-06 00:00:00,Conhecida,Não,AVENIDA JOÃO CERNACH,1000.0,CENTRO,BIRIGUI,SP,"-212,927,231,099,242","-503,480,388,837,277",Via pública,,BO PARA ADENDO,DEL.POL.PLANTÃO BIRIGUI,DEL.POL.BIRIGUI,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FDC1268,SP,BIRIGUI,Prata,HONDA/CG 125 FAN ES,2014.0,2015.0,MOTOCICLO
13066,2017,2474,2017-06-06 04:52:58,2017-06-06 05:26:39,2017-05-06 00:00:00,A NOITE,2017-06-06 00:00:00,Desconhecida,Não,RUA PADRE ANTONIO DOS REIS,101.0,ARTHUR ALVIM,S.PAULO,SP,"-23,544,601,374","-46,485,166,636",Via pública,IC,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.POL.FERRAZ DE VASCONCELOS,65º D.P. ARTUR ALVIM,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FLN6385,SP,S.PAULO,Prata,VW/NOVO VOYAGE 1.0 CITY,2013.0,2014.0,AUTOMOVEL
13074,2017,1759,2017-06-06 02:02:03,2017-06-06 05:40:50,2017-06-06 00:00:00,DE MADRUGADA,2017-06-06 00:00:00,Conhecida,Sim,"RODOVIA SP261, TREVO PARQUE DA COLINA",0.0,PQ. COLINA,PEDERNEIRAS,SP,"-223,537,463,378,235","-48,780,121,787,647",Via pública,,BO PARA FLAGRANTE,DEL.POL.PEDERNEIRAS,DEL.POL.PEDERNEIRAS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CGH3615,SP,PEDERNEIRAS,Preta,VW/PARATI PLUS,1989.0,1989.0,AUTOMOVEL
13079,2017,4858,2017-06-06 04:17:57,2017-06-06 06:59:19,2017-06-06 00:00:00,DE MADRUGADA,2017-06-06 00:00:00,Conhecida,Sim,AVENIDA REBOUCAS,2496.0,PINHEIROS,S.PAULO,SP,"-23,568,123,045","-466,850,538,843,689",Via pública,IC-IML,BO PARA FLAGRANTE,14º D.P. PINHEIROS,14º D.P. PINHEIROS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DQW5306,SP,BARUERI,Cinza,HONDA/FIT LX,2006.0,2007.0,AUTOMOVEL
13127,2017,580,2017-01-19 10:49:38,2017-01-19 16:00:47,2017-01-19 00:00:00,DE MADRUGADA,2017-01-19 00:00:00,Conhecida,Sim,RUA FRANCISCO INACIO SOLANO,43.0,PEDREIRA,S.PAULO,SP,"-237,426,861,631,159","-4,665,535,489,887",Via pública,,BO PARA FLAGRANTE,101º D.P. JDIM IMBUIAS,101º D.P. JDIM IMBUIAS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,KJY9945,SP,S.PAULO,Branco,GM/BLAZER,2000.0,2000.0,CAMIONETA
13145,2017,188,2017-01-19 14:24:26,2017-01-19 16:25:48,2017-01-19 00:00:00,PELA MANHÃ,2017-01-19 00:00:00,Conhecida,Sim,RUA JORGE CARLOS DE ALMEIDA,113.0,SAO RAFAEL,S.PAULO,SP,"-23,631,547,721,893","-464,457,619,008,904",Via pública,IC-IML,BO PARA FLAGRANTE,55º D.P. PARQUE S.RAFAEL,55º D.P. PARQUE S.RAFAEL,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BGE2679,SP,S.PAULO,Cinza,GM/MONZA SL/E 2.0,1991.0,1991.0,AUTOMOVEL
13194,2017,6045,2017-02-09 21:54:22,2017-03-09 02:00:01,2017-02-09 00:00:00,A NOITE,2017-02-09 00:00:00,Conhecida,Sim,RUA DAS PEROBAS,361.0,JABAQUARA,S.PAULO,SP,"-236,439,291,316,286","-466,424,799,044,064",Via pública,IC,BO PARA FLAGRANTE,02º D.P. BOM RETIRO,35º D.P. JABAQUARA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BOQ6192,SP,S.PAULO,Prata,GM/KADETT GL,1994.0,1995.0,AUTOMOVEL
13201,2017,8486,2017-03-09 00:24:48,2017-03-09 02:34:18,2017-02-09 00:00:00,A NOITE,2017-03-09 00:00:00,Conhecida,Não,RUA NEUSA ZANGRANDI,1.0,SÍTIO DO CAMPO,PRAIA GRANDE,SP,"-240,008,722,929,999","-4,642,410,709",Via pública,,ENCAM FEBEM/V.INFAN.JUVENTUDE,DEL.POL.PRAIA GRANDE,01º D.P. PRAIA GRANDE,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EWQ3785,SP,S.PAULO,Branco,I/HYUNDAI AZERA 3.0 V6,2011.0,2012.0,AUTOMOVEL
13215,2017,1516,2017-03-09 00:06:47,2017-03-09 07:25:54,2017-02-09 00:00:00,A NOITE,2017-02-09 00:00:00,Conhecida,Sim,RUA OLAVO BILAC,0.0,CENTRO,S.MARIA DA SERRA,SP,"-2,256,792,201","-48,158,229,626",Via pública,IC-IML,BO PARA FLAGRANTE,DEL.POL.S.PEDRO,DEL.POL.SANTA MARIA DA SERRA,Localização e/ou Devolução,Localização/Apreensão de objeto,Consumado,DAZ3250,SP,S.MARIA DA SERRA,Cinza,GM/MONZA SL/E 1.8,1990.0,1990.0,AUTOMOVEL
13229,2017,9743,2017-03-09 07:10:01,2017-03-09 08:47:20,2017-03-09 00:00:00,DE MADRUGADA,2017-03-09 00:00:00,Conhecida,Sim,RUA QUARENTA E SETE,71.0,SOLO SAGRADO,S.JOSE DO RIO PRETO,SP,"-20,785,264,501","-49,394,619,239",Via pública,IC-IML,BO PARA FLAGRANTE,DEL.SEC.S.J RIO PRETO PLANTÃO,06º D.P. S.JOSE RIO PRETO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BKA1516,SP,MIRASSOL,Vermelho,FIAT/UNO CS IE,1993.0,1993.0,AUTOMOVEL
13252,2017,8478,2017-03-09 11:17:00,2017-03-09 11:22:02,2017-03-09 00:00:00,PELA MANHÃ,2017-03-09 00:00:00,Desconhecida,Não,RUA CEREJA DO RIO GRANDE,82.0,CIDADE TIRADENTES,S.PAULO,SP,"-235,921,950,988,734","-464,152,259,370,126",Via pública,IC,ENCAMINHAMENTO DP ÁREA DO FATO,49º D.P. SAO MATEUS,54º D.P. CID. TIRADENTES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,AYG7765,PR,CURITIBA,Branco,FIAT/UNO VIVACE 1.0,2014.0,2014.0,AUTOMOVEL
